country,year,temperature_anomaly,co2_emission,sea_level_change,temp_anomaly_z,sea_level_z,co2_growth,co2_growth_norm,risk_score
Saudi Arabia,2000,81.0438953157248,1.1048339441832324,158.84150677102014,0.8501266254132178,0.8951413306611683,0.0,0.4941758241758242,0.7523443260915899
Romania,2000,72.46375352510378,3480.4308917253734,1.2019557629235726,1.0448638801825194,1.1483656997691367,0.0,0.4941758241758242,0.9003578272978343
Spain,2000,68.67567781578634,690.9140036148642,17.634426998675345,-0.022379564412792305,-0.9049627087359958,0.0,0.4941758241758242,-0.04392957670084807
Slovenia,2000,104.80255410521991,0.0,0.0,-1.2278299586458896,0.0,0.0,0.4941758241758242,-0.4656622320701975
South Sudan,2000,98.06272358438318,0.4582349334459212,0.0,-0.885486569813655,0.0,0.0,0.4941758241758242,-0.2944905376540803
Sierra Leone,2000,67.97741523566883,0.08922516308911523,9.500438494154116,-1.7896533514106339,0.029722719429944228,0.0,0.4941758241758242,-0.7406293845665808
South Africa,2000,35.70830000201847,3595.9591780365313,17.711460940610078,-1.2072709282167904,-0.48579211138116196,0.0,0.4941758241758242,-0.5525411391318803
Serbia,2000,81.84495642325273,253.44662519737096,0.0,0.2667047735597112,0.0,0.0,0.4941758241758242,0.28160513403260284
Slovak Republic,2000,115.66567734878247,6.753728213474126,0.7431402698096676,0.63157238743015,-1.2626661160176114,0.0,0.4941758241758242,0.2115057177643
Solomon Islands,2000,84.27866172987376,0.5284656832942802,0.9188724608844298,0.5423234436895998,-0.4502639190350841,0.0,0.4941758241758242,0.3293616852905304
Swaziland,2000,93.8504846343654,1.700261677531311,0.0,-0.7276044982140923,0.0,0.0,0.4941758241758242,-0.2155495018542989
Turkey,2000,85.51676322317866,2.434578051607962,11.454868659269373,-1.1113188069898599,-0.7077130369685887,0.0,0.4941758241758242,-0.5489492636359004
Tanzania,2000,51.95923835883866,13.769120888547691,67.61783996223127,-1.4474941094897098,-0.7589980744574524,0.0,0.4941758241758242,-0.7272939223835981
Tunisia,2000,109.83428310600873,0.0,0.0,-0.610120180502131,0.0,0.0,0.4941758241758242,-0.15680734299831825
Thailand,2000,55.80266346246066,3366.943751299999,9.598397393468048,-0.17034347404910008,-0.9390424046868918,0.0,0.4941758241758242,-0.12472747070918115
The Bahamas,2000,22.93401927206703,71.74689338980156,29.213287706018622,-0.2203481037702513,-0.7652482794806269,0.0,0.4941758241758242,-0.1149709605285038
Uganda,2000,83.70538459545936,0.9363608637401962,3.418719964854787,-1.1224449126242466,-0.9942776221791725,0.0,0.4941758241758242,-0.6118252334952106
Vietnam,2000,42.4505855274314,848.8874168744302,104.43211221857219,-0.4381479454216444,0.7862157217656242,0.0,0.4941758241758242,0.08642191889504988
United Kingdom,2000,75.25284251009988,3360.5108981140875,11.656355586290502,1.113798135595638,0.24497324577909843,0.0,0.4941758241758242,0.754146464206386
Uruguay,2000,87.57129065086517,42.00905645950909,0.0,-0.43381214204184776,0.0,0.0,0.4941758241758242,-0.06865332376817662
Venezuela,2000,99.8553806325117,0.0,0.0,-1.2647835879206637,0.0,0.0,0.4941758241758242,-0.48413904670758456
